settings,Экзамен,,0,minutes,1,20,80,1000,,single_question,asc,1,200
question,1. На какие ,"<details><summary class=""coursqestion"">Подсказка</summary>Приказ N 461 п. 3. </details>",single_choice,0,,1,0,0,Приказ N 461 п. 3. 
answer,"На ОПО, где эксплуатируются грузоподъемные краны.",text
answer,"На ОПО, где эксплуатируются строительные подъемники.",text
answer,"На ОПО, где эксплуатируются канатные дороги.",text,1
answer,"На ОПО, где эксплуатируются грузовые электрические тележки, передвигающиеся по надземным рельсовым путям совместно с кабиной управления.",text
answer,"На ОПО, где эксплуатируются подъемники (вышки).",text
question,2. В каком д,"<details><summary class=""coursqestion"">Подсказка</summary>Приказ N 461 п.138 </details>",multiple_choice,0,,1,0,0,Приказ N 461 п.138 
answer,В акте пуска ПС в работу.,text,1
answer,В ППР,text,1
answer,Все ответы неверны.,text
answer,В руководстве (инструкции) по эксплуатации ПС.,text
answer,В паспорте ПС.,text
